date,headline,food,transport,housing_utilities,education,health,restaurants_hotels,communication,recreation_culture,misc_goods_services,services_proxy,headline_infl_mom_pct,headline_infl_yoy_pct,food_infl_mom_pct,food_infl_yoy_pct,transport_infl_mom_pct,transport_infl_yoy_pct,housing_utilities_infl_mom_pct,housing_utilities_infl_yoy_pct,services_proxy_infl_mom_pct,services_proxy_infl_yoy_pct
2023-05-01,121.01241709889,130.191962673962,119.981305992939,113.136843943435,111.407311874013,119.939468106041,114.039908133021,99.3604512001457,107.352877344355,105.686271193872,109.63104797524129,0.41759542996340215,6.06476195545409,0.3109449432693312,7.082665594179782,1.3362032871517604,16.08143676774889,0.5012790885053242,8.028442734777297,0.4410816093757042,1.5789868807777108
2023-06-01,121.091800276336,129.900684647422,121.213766266793,113.374735198422,111.407311874013,119.713774240265,114.548772635561,101.776042858997,107.722479046131,105.676775302674,110.14085932627351,0.06559919994089114,5.133072236086678,-0.22372965316563853,4.962049602390284,1.0272102505089808,17.577918007598804,0.2102685974747054,7.553936007316642,0.4650246079444198,2.299512577249252
2023-07-01,121.636494997592,130.704559484744,122.045932928585,114.014609129937,111.407311874013,120.060058664475,114.81020607973,100.352280004642,108.525517348144,105.663530734913,110.13648411765284,0.4498196574937108,4.051749356366119,0.6188380296100027,3.5693815251537364,0.6865281786232025,14.812730882958626,0.5643884683788958,7.662520424869679,-0.003972375599237132,1.9153153463783212
2023-08-01,122.946490709183,132.558513775043,122.813938799794,115.739787124055,111.962048120064,119.585356161028,116.950505245172,100.685365778994,108.84005388281,105.966269260667,110.66493307478918,1.0769758793336859,3.7523128347535906,1.4184312296430468,2.678941731249429,0.6292760871092762,11.547628337687566,1.5131201231869396,7.865598438075483,0.47981280805351467,2.6417681942703775
2023-09-01,123.119670788741,132.963507203819,123.313821879891,115.636326248846,111.962048120064,119.601265105497,117.158805363146,98.8074725295182,109.522201109029,106.16012390838,110.53531935593902,0.14085809083208556,3.029013212335574,0.30552049600021114,2.0441344618718382,0.40702471151250474,9.905367094376993,-0.08939093269465515,6.381164902342218,-0.11712266501129331,2.2528393671961355
2023-10-01,123.357427768739,132.649405737159,123.763952103052,115.703981234947,112.243958812561,119.927580274037,117.187656953832,103.92299125669,110.460319361983,106.238217172666,111.66345397196149,0.19311047412233773,1.6961482017634033,-0.23623133389414352,-0.1885585122957223,0.3650281990281945,9.622632509346317,0.05850668928673031,4.237820932384673,1.0206100842661048,3.1056823379145726
2023-11-01,123.195255309613,132.589244887649,123.665687058401,115.80054463158,112.243958812561,119.381812271268,117.208208049538,101.750014100719,111.273868705494,106.317209837479,111.36251196284319,-0.13146549993732215,1.2286403530098688,-0.04535327480411633,-0.7565532278076437,-0.07939714511474572,10.022853254805163,0.08345728090108917,3.6710336898656992,-0.269508060527901,3.033935509184138
2023-12-01,123.344470249214,132.456865609552,125.532634369691,115.791767721916,112.243958812561,118.995411206361,117.525736768549,102.202607726333,112.135295672728,106.31672131084,111.56995524956199,0.12112068701508605,1.6017053123673852,-0.0998416411596259,-0.5579087015375239,1.5096728572803864,10.796676407494266,-0.0075793336654084165,3.6631761163079757,0.18627748518103004,3.1304470031384923
2024-01-01,123.603291428043,132.067238481777,125.520048973032,119.008103429255,112.243958812561,119.243560779383,117.975669233346,102.191080483551,112.941126129279,106.285606998649,111.81350040612817,0.20983606180808856,1.809702850461714,-0.2941539692804862,-0.3030802976740299,-0.010025597504736972,9.503597150926257,2.777689442537312,6.133708646667091,0.21828919445330275,2.8615638626735995
2024-02-01,123.7544223,132.1758809,125.8911929,119.4180145,112.2439588,119.0958586,117.9756692,101.7500141,113.7977372,106.3957449,111.87649713333332,0.12227091221514996,2.6160615075358162,0.08226295898359215,0.7792025043125816,0.2956849762285607,9.7713930942815,0.344439629683424,6.416923750502024,0.05634089530899278,3.327336896518873
